Video ID,Segment ID,Start frame,End frame,Start time(s),End time(s),Violence label(video),No. Frames
1,1_1,0,310,0,10.34,1,311
1,1_2,317,516,10.58,17.22,0,200
1,1_3,517,1612,17.25,53.79,1,1096
1,1_4,1846,2133,61.59,71.17,0,288
1,1_5,2134,2334,71.2,77.88,1,201
10,10_1,0,2696,0,89.96,0,2697
11,11_1,0,685,0,22.86,0,686
11,11_2,875,977,29.2,32.6,1,103
11,11_3,978,1845,32.63,61.56,0,868
11,11_4,1846,1930,61.59,64.4,1,85
11,11_5,1931,2098,64.43,70,0,168
11,11_6,2099,2495,70.04,83.25,1,397
11,11_7,2496,2901,83.28,96.8,0,406
11,11_8,2902,3035,96.83,101.27,1,134
11,11_9,3036,3736,101.3,124.66,0,701
12,12_1,60,209,2,6.97,0,150
12,12_2,210,474,7.01,15.82,1,265
12,12_3,475,909,15.85,30.33,0,435
12,12_4,910,1297,30.36,43.28,1,388
12,12_5,1298,2567,43.31,85.65,0,1270
13,13_1,0,450,0,18,0,451
13,13_2,451,1915,18.04,76.6,1,1465
14,14_1,0,3836,0,127.99,0,3837
15,15_1,92,1180,3.07,39.37,1,1089
15,15_2,1181,1370,39.41,45.71,0,190
15,15_3,1371,1426,45.75,47.58,1,56
15,15_4,1427,2000,47.61,66.73,0,574
16,16_1,0,7,0,0.28,0,8
16,16_2,8,200,0.32,8,1,193
16,16_3,201,732,8.04,29.28,0,532
16,16_4,733,764,29.32,30.56,1,32
16,16_5,765,980,30.6,39.2,0,216
16,16_6,981,1347,39.24,53.88,1,367
16,16_7,1348,1405,53.92,56.2,0,58
16,16_8,1406,1487,56.24,59.48,1,82
17,17_1,0,1264,0,42.18,0,1265
17,17_2,1265,1345,42.21,44.88,1,81
17,17_3,1346,2760,44.91,92.09,0,1415
18,18_1,0,570,0,19.02,0,571
18,18_2,578,1638,19.29,54.65,1,1061
18,18_3,1643,2362,54.82,78.81,0,720
18,18_4,2363,2525,78.85,84.25,1,163
18,18_5,2526,3340,84.28,111.44,0,815
19,19_1,210,802,7.01,26.76,0,593
19,19_2,803,3422,26.79,114.18,1,2620
19,19_3,3423,3771,114.21,125.83,0,349
19,19_4,3772,3831,125.86,127.83,1,60
19,19_5,3832,7058,127.86,235.5,0,3227
19,19_6,7059,8159,235.54,272.24,1,1101
19,19_7,8160,8321,272.27,277.64,0,162
19,19_8,8322,9301,277.68,310.34,1,980
19,19_9,9302,9566,310.38,319.19,0,265
19,19_10,9567,9748,319.22,325.26,1,182
19,19_11,9749,10116,325.29,337.54,0,368
19,19_12,10117,10565,337.57,352.52,1,449
19,19_13,10566,10836,352.55,361.56,0,271
19,19_14,10837,11056,301.59,368.9,1,220
19,19_15,11057,11287,368.93,376.61,0,231
19,19_16,11288,12781,376.64,426.46,1,1494
19,19_17,12794,13375,426.89,446.28,0,582
19,19_18,13376,13499,446.31,450.42,1,124
19,19_19,13500,15890,450.45,530.2,0,2391
20,20_1,0,662,0,22.09,1,663
20,20_2,877,1249,29.26,41.67,0,373
20,20_3,1250,1518,41.71,50.65,1,269
20,20_4,1571,2730,52.42,91.09,0,1160
20,20_5,2769,2926,92.39,97.63,1,158
20,20_6,2933,3134,97.86,104.57,0,202
20,20_7,3135,3321,104.6,110.81,1,187
20,20_8,3322,3405,110.84,113.61,0,84
20,20_9,3406,3434,113.65,114.58,1,29
21,21_1,0,251,0,4.19,0,252
21,21_2,264,1035,4.4,17.27,1,772
21,21_3,1036,1110,17.28,18.52,0,75
21,21_4,1776,2005,29.63,33.45,1,230
21,21_5,2033,2511,33.92,41.89,0,479
21,21_6,2512,2842,41.91,47.41,1,331
