Video ID,Segment ID,Start frame,End frame,Start time(s),End time(s),Violence label,Video Source Label,No. Frames
1,1_1,0,310,0.0,10.34,1,0,311
1,1_2,317,516,10.58,17.22,0,0,200
1,1_3,517,1612,17.25,53.79,1,0,1096
1,1_4,1846,1959,61.59,65.37,0,0,114
1,1_5,1960,2129,65.4,71.04,0,1,170
1,1_6,2130,2133,71.07,71.17,0,0,4
1,1_7,2134,2334,71.2,77.88,1,0,201
10,10_1,0,184,0.0,6.14,0,2,185
10,10_2,185,490,6.17,16.35,0,1,306
10,10_3,491,708,16.38,23.62,0,2,218
10,10_4,716,907,23.89,30.26,0,1,192
10,10_5,908,1171,30.3,39.07,0,2,264
10,10_6,1172,1966,39.11,65.6,0,1,795
10,10_7,1967,2116,65.63,70.6,0,2,150
10,10_8,2117,2319,70.64,77.38,0,1,203
10,10_9,2426,2696,80.95,89.96,0,1,271
11,11_1,0,685,0.0,22.86,0,1,686
11,11_2,875,977,29.2,32.6,1,0,103
11,11_3,978,1265,32.63,42.21,0,0,288
11,11_4,1266,1333,42.24,44.48,0,1,68
11,11_5,1334,1681,44.51,56.09,0,0,348
11,11_6,1682,1750,56.12,58.39,0,1,69
11,11_7,1751,1845,58.43,61.56,0,0,95
11,11_8,1846,1930,61.59,64.4,1,0,85
11,11_9,1931,2098,64.43,70.0,0,1,168
11,11_10,2099,2495,70.04,83.25,1,0,397
11,11_11,2496,2901,83.28,96.8,0,1,406
11,11_12,2902,3035,96.83,101.27,1,0,134
11,11_13,3036,3736,101.3,124.66,0,1,701
12,12_1,60,209,2.0,6.97,0,3,150
12,12_2,210,474,7.01,15.82,1,3,265
12,12_3,475,909,15.85,30.33,0,3,435
12,12_4,910,1297,30.36,43.28,1,3,388
12,12_5,1298,2567,43.31,85.65,0,3,1270
13,13_1,0,450,0.0,18.0,0,2,451
13,13_2,451,1915,18.04,76.6,1,2,1465
14,14_1,0,102,0.0,3.4,0,1,103
14,14_2,103,637,3.44,21.25,0,4,535
14,14_3,638,777,21.29,25.93,0,0,140
14,14_4,778,850,25.96,28.36,0,1,73
14,14_5,851,953,28.4,31.8,0,0,103
14,14_6,954,1050,31.83,35.04,0,1,97
14,14_7,1051,1432,35.07,47.78,0,0,382
14,14_8,1433,1502,47.81,50.12,0,1,70
14,14_9,1503,1563,50.15,52.15,0,0,61
14,14_10,1564,2379,52.19,79.38,0,1,816
14,14_11,2380,2449,79.41,81.72,0,0,70
14,14_12,2450,3099,81.75,103.4,0,1,650
14,14_13,3100,3318,103.44,110.71,0,0,219
14,14_14,3319,3539,110.74,118.08,0,1,221
14,14_15,3540,3739,118.12,124.76,0,0,200
14,14_16,3740,3836,124.79,127.99,0,1,97
15,15_1,92,1180,3.07,39.37,1,0,1089
15,15_2,1181,1370,39.41,45.71,0,0,190
15,15_3,1371,1426,45.75,47.58,1,0,56
15,15_4,1427,2000,47.61,66.73,0,0,574
16,16_1,0,7,0.0,0.28,0,0,8
16,16_2,8,200,0.32,8.0,1,0,193
16,16_3,201,693,8.04,27.72,0,0,493
16,16_4,703,732,28.12,29.28,0,0,30
16,16_5,733,764,29.32,30.56,1,0,32
16,16_6,765,980,30.6,39.2,0,0,216
16,16_7,981,1347,39.24,53.88,1,0,367
16,16_8,1348,1405,53.92,56.2,0,0,58
16,16_9,1406,1487,56.24,59.48,1,0,82
17,17_1,0,191,0.0,6.37,0,1,192
17,17_2,419,952,13.98,31.77,0,1,534
17,17_3,968,1179,32.3,39.34,0,0,212
17,17_4,1180,1264,39.37,42.18,0,1,85
17,17_5,1265,1345,42.21,44.88,1,0,81
17,17_6,1346,1691,44.91,56.42,0,0,346
17,17_7,1692,1784,56.46,59.53,0,1,93
17,17_8,1785,2112,59.56,70.47,0,0,328
17,17_9,2113,2760,70.5,92.09,0,1,648
18,18_1,0,570,0.0,19.02,0,1,571
18,18_2,578,1638,19.29,54.65,1,0,1061
18,18_3,1643,2035,54.82,67.9,0,1,393
18,18_4,2046,2184,68.27,72.87,0,0,139
18,18_5,2195,2315,73.24,77.24,0,1,121
18,18_6,2325,2362,77.58,78.81,0,0,38
18,18_7,2363,2525,78.85,84.25,1,0,163
18,18_8,2526,3007,84.28,100.33,0,0,482
18,18_9,3016,3340,100.63,111.44,0,1,325
19,19_1,210,802,7.01,26.76,0,0,593
19,19_2,803,3422,26.79,114.18,1,0,2620
19,19_3,3423,3771,114.21,125.83,0,0,349
19,19_4,3772,3831,125.86,127.83,1,0,60
19,19_5,3832,7058,127.86,235.5,0,0,3227
19,19_6,7059,8159,235.54,272.24,1,0,1101
19,19_7,8160,8321,272.27,277.64,0,0,162
19,19_8,8322,9301,277.68,310.34,1,0,980
19,19_9,9302,9566,310.38,319.19,0,0,265
19,19_10,9567,9748,319.22,325.26,1,0,182
19,19_11,9749,10116,325.29,337.54,0,0,368
19,19_12,10117,10565,337.57,352.52,1,0,449
19,19_13,10566,10836,352.55,361.56,0,0,271
19,19_14,10837,11056,301.59,368.9,1,0,220
19,19_15,11057,11287,368.93,376.61,0,0,231
19,19_16,11288,12781,376.64,426.46,1,0,1494
19,19_17,12794,13375,426.89,446.28,0,0,582
19,19_18,13376,13499,446.31,450.42,1,0,124
19,19_19,13500,15890,450.45,530.2,0,0,2391
20,20_1,0,200,0.0,6.67,1,0,201
20,20_2,209,364,6.97,12.15,1,4,156
20,20_3,377,662,12.58,22.09,1,4,286
20,20_4,877,1249,29.26,41.67,0,1,373
20,20_5,1250,1518,41.71,50.65,1,0,269
20,20_6,1571,2286,52.42,76.28,0,1,716
20,20_7,2287,2414,76.31,80.55,0,0,128
20,20_8,2415,2730,80.58,91.09,0,1,316
20,20_9,2769,2926,92.39,97.63,1,0,158
20,20_10,2933,3071,97.86,102.47,0,1,139
20,20_11,3072,3134,102.5,104.57,0,0,63
20,20_12,3135,3321,104.6,110.81,1,0,187
20,20_13,3322,3405,110.84,113.61,0,1,84
20,20_14,3406,3434,113.65,114.58,1,0,29
21,21_1,0,251,0.0,4.19,0,0,252
21,21_2,264,1035,4.4,17.27,1,0,772
21,21_3,1036,1110,17.28,18.52,0,1,75
21,21_4,1776,2005,29.63,33.45,1,0,230
21,21_5,2033,2511,33.92,41.89,0,0,479
21,21_6,2512,2842,41.91,47.41,1,0,331
21,21_7,2843,3132,47.43,52.25,0,1,290
21,21_8,3133,3349,52.27,55.87,1,0,217
21,21_9,3350,3492,55.89,58.26,0,0,143
21,21_10,3513,3855,58.61,64.31,1,0,343
21,21_11,3856,4926,64.33,82.18,0,0,1071
21,21_12,4927,5376,82.2,89.69,0,1,450
21,21_13,5398,6039,90.06,100.75,1,0,642
21,21_14,6123,6167,102.15,102.89,0,1,45
21,21_15,6210,6269,103.6,104.59,0,1,60
21,21_16,6320,6399,105.44,106.76,0,1,80
22,22_1,0,203,0.0,6.77,0,1,204
22,22_2,204,282,6.81,9.41,1,4,79
22,22_3,283,414,9.44,13.81,0,4,132
22,22_4,525,1156,17.52,38.57,0,1,632
22,22_5,1157,1270,38.61,42.38,0,0,114
22,22_6,1271,1434,42.41,47.85,0,1,164
22,22_7,1435,1662,47.88,55.46,1,0,228
22,22_8,1663,2179,55.49,72.71,0,0,517
22,22_9,2180,2682,72.74,89.49,0,1,503
22,22_10,2683,2852,89.52,95.16,0,0,170
22,22_11,2853,3232,95.2,107.84,0,1,380
22,22_12,3233,3401,107.87,113.48,1,0,169
22,22_13,3402,3654,113.51,121.92,0,1,253
22,22_14,3655,3950,121.96,131.8,0,0,296
22,22_15,3951,4385,131.83,146.31,0,1,435
23,23_1,29,8477,0.97,282.57,0,0,8449
24,24_1,0,91,0.0,6.07,0,0,92
24,24_2,92,335,6.13,22.33,1,0,244
24,24_3,336,353,22.4,23.53,0,0,18
24,24_4,354,960,23.6,64.0,1,0,607
24,24_5,961,1556,64.07,103.73,0,0,596
25,25_1,0,181,0.0,7.24,1,4,182
25,25_2,182,300,7.28,12.0,1,0,119
25,25_3,301,442,12.04,17.68,1,4,142
25,25_4,547,1906,21.88,76.24,1,0,1360
25,25_5,1907,2926,76.28,117.04,0,1,1020
25,25_6,2927,4244,117.08,169.76,1,0,1318
26,26_1,125,304,5.0,12.16,0,0,180
26,26_2,305,366,12.2,14.64,1,0,62
26,26_3,367,861,14.68,34.44,0,0,495
26,26_4,862,1157,34.48,46.28,0,2,296
26,26_5,1158,1355,46.32,54.2,0,0,198
26,26_6,1356,1446,54.24,57.84,1,0,91
26,26_7,1447,1471,57.88,58.84,0,0,25
100,100_1,0,420,0.0,14.01,0,1,421
100,100_2,421,590,14.05,19.69,1,2,170
100,100_3,598,731,19.95,24.39,0,1,134
100,100_4,732,1138,24.42,37.97,1,2,407
100,100_5,1139,1275,38.0,42.54,0,1,137
100,100_6,1276,1628,42.58,54.32,0,2,353
100,100_7,1629,3043,54.35,101.53,0,1,1415
101,101_1,0,800,0.0,13.35,1,2,801
101,101_2,824,1494,13.75,24.92,1,4,671
101,101_3,1495,2315,24.94,38.62,0,1,821
101,101_4,2382,3021,39.74,50.4,0,1,640
101,101_5,3022,3295,50.42,54.97,1,2,274
101,101_6,3296,3795,54.99,63.31,1,5,500
101,101_7,3796,3818,63.31,63.7,0,5,23
101,101_8,3819,4593,63.71,76.63,1,2,775
101,101_9,4594,4799,76.64,80.06,0,1,206
101,101_10,4800,5026,80.08,83.85,1,2,227
101,101_11,5027,5838,83.87,97.4,0,1,812
101,101_12,5839,6253,97.41,104.32,1,2,415
101,101_13,6254,8593,104.34,143.36,0,1,2340
101,101_14,9637,9760,160.78,162.83,0,1,124
102,102_1,69,538,2.3,17.95,0,1,470
102,102_2,594,817,19.82,27.26,0,4,224
102,102_3,824,883,27.49,29.46,0,0,60
102,102_4,884,1040,29.5,34.7,1,0,157
102,102_5,1041,1862,34.73,62.13,0,1,822
102,102_6,1863,2518,62.16,84.02,0,0,656
102,102_7,2519,2672,84.05,89.16,0,1,154
102,102_8,2673,3054,89.19,101.9,0,0,382
102,102_9,3055,3176,101.94,105.97,1,0,122
102,102_10,3177,4620,106.01,154.15,0,1,1444
103,103_1,0,4116,0.0,137.34,0,1,4117
104,104_1,0,834,0.0,27.83,0,1,835
104,104_2,835,941,27.86,31.4,0,0,107
104,104_3,942,1814,31.43,60.53,0,1,873
104,104_4,1815,1921,60.59,64.1,0,0,107
104,104_5,1922,2205,64.13,73.57,0,1,284
104,104_6,2206,3007,0.03,100.33,0,0,802
104,104_7,3008,3516,100.37,117.32,0,1,509
105,105_1,68,224,2.83,9.33,0,1,157
105,105_2,225,515,9.38,21.46,0,0,291
105,105_3,522,737,21.75,30.71,0,1,216
105,105_4,738,999,30.75,41.62,0,0,262
106,106_1,0,2720,0.0,90.76,0,1,2721
107,107_1,18,741,0.6,24.72,0,0,724
107,107_2,742,1115,24.76,37.2,1,0,374
107,107_3,1116,2254,37.24,75.21,0,0,1139
108,108_1,0,1617,0.0,53.95,1,0,1618
108,108_2,1618,1629,53.99,54.35,0,0,12
109,109_1,6,304,0.24,12.16,0,1,299
109,109_2,305,1852,12.2,74.08,0,2,1548
110,110_1,0,2,0.0,0.07,0,1,3
110,110_2,32,367,1.07,12.23,1,2,336
110,110_3,373,709,12.43,23.63,0,1,337
110,110_4,738,1399,24.6,46.63,0,1,662
110,110_5,1400,2283,46.67,76.1,1,2,884
111,111_1,0,2217,0.0,73.97,0,1,2218
112,112_1,0,513,0.0,17.24,0,2,514
112,112_2,514,688,17.27,23.12,1,2,175
112,112_3,689,782,23.16,26.28,0,2,94
112,112_4,783,883,26.32,29.68,1,2,101
112,112_5,935,1408,31.42,47.32,1,2,474
112,112_6,1489,2913,50.04,97.9,1,2,1425
113,113_1,52,756,1.74,25.23,0,1,705
113,113_2,810,913,27.03,30.46,1,2,104
113,113_3,914,2001,30.5,66.77,0,1,1088
113,113_4,2002,2292,66.8,76.48,1,2,291
113,113_5,2293,2930,76.51,97.76,0,1,638
114,114_1,0,748,0.0,24.96,0,1,749
114,114_2,754,1192,25.16,39.77,0,0,439
114,114_3,1193,1237,39.81,41.27,1,0,45
114,114_4,1238,1391,41.31,46.41,0,1,154
114,114_5,1392,2313,46.45,77.18,1,0,922
114,114_6,2314,2621,77.21,87.45,0,0,308
114,114_7,2622,3392,87.49,113.18,1,0,771
114,114_8,3393,3840,113.21,128.13,0,1,448
115,115_1,0,10,0.0,0.33,0,0,11
115,115_2,11,192,0.37,6.41,1,0,182
115,115_3,198,567,6.61,18.92,0,1,370
115,115_4,568,611,18.95,20.39,1,0,44
115,115_5,617,1423,20.59,47.48,0,1,807
115,115_6,1426,1877,47.58,62.63,1,0,452
115,115_7,1878,2170,62.66,72.41,0,1,293
115,115_8,2171,2440,72.44,81.41,1,0,270
115,115_9,2441,2755,81.45,91.93,0,1,315
116,116_1,0,102,0.0,3.4,0,1,103
116,116_2,109,1304,3.64,43.51,0,2,1196
116,116_3,1307,2644,43.61,88.22,0,1,1338
117,117_1,0,597,0.0,19.92,0,0,598
117,117_2,598,697,19.95,23.26,1,0,100
