Video ID,Segment ID,Modality,Start frame,End frame,Start time(s),End time(s),Violence Type (Video),Violence label(video),Video Type,Violence Type (Text),Texts,Memo,Violence(Sound) Type1,Sound type1,sound_start_frame1,sound_end_frame1,Violence(Sound) Type2,Sound type2,sound_start_frame2,sound_end_frame2,Violence(Sound) Type3,Sound type3,sound_start_frame3,sound_end_frame3,Violence(Sound) Type4,Sound type4,sound_start_frame4,sound_end_frame4,Violence(Sound) Type5,Sound type5,sound_start_frame5,sound_end_frame5,Violence(Sound) Type6,Sound type6,sound_start_frame6,sound_end_frame6,Violence(Sound) Type7,Sound type7,sound_start_frame7,sound_end_frame7,Violence(Sound) Type8,Sound type8,sound_start_frame8,sound_end_frame8,Violence(Sound) Type9,Sound type9,sound_start_frame9,sound_end_frame9,Violence(Sound) Type10,Sound type10,sound_start_frame10,sound_end_frame10,Violence(Sound) Type11,Sound type11,sound_start_frame11,sound_end_frame11,Filename,Segment Position,Split
1,1_1,Unimodal(Video),0,112,0.0,3.74,violent,1.0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,1,train
1,1_2,"Multimodal(Video, Text)",113,122,3.77,4.07,violent,1.0,CCTV,Violent,VIOLENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,2,train
1,1_3,"Multimodal(Video, Text)",123,310,4.1,10.34,violent,1.0,CCTV,Violent,"VIOLENT, ATTACK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,3,train
1,1_4,Unimodal(Video),317,516,10.58,17.22,non-violent,0.0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,4,train
1,1_5,Unimodal(Video),517,958,17.25,31.97,violent,1.0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,5,train
1,1_6,"Multimodal(Video, Text)",959,968,32.0,32.3,violent,1.0,CCTV,Violent,BATTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,6,train
1,1_7,"Multimodal(Video, Text)",969,1612,32.33,53.79,violent,1.0,CCTV,Violent,"BATTLE, BAT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,7,train
1,1_8,"Multimodal(Video, Text)",1622,1650,54.12,55.05,none,,CCTV,Violent,"BATTLE, BAT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,8,train
1,1_9,"Multimodal(Video, Text)",1651,1717,55.09,57.29,none,,CCTV,Violent,"BATTLE, BAT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,9,train
1,1_10,"Multimodal(Video, Text)",1718,1845,57.32,61.56,none,,CCTV,Violent,"BATTLE, BAT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,10,train
1,1_11,"Multimodal(Video, Text)",1846,1959,61.59,65.37,non-violent,0.0,CCTV,Violent,"BATTLE, BAT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,11,train
1,1_12,Unimodal(Video),1960,2129,65.4,71.04,non-violent,0.0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,12,train
1,1_13,Unimodal(Video),2130,2133,71.07,71.17,non-violent,0.0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,13,train
1,1_14,Unimodal(Video),2134,2334,71.2,77.88,violent,1.0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,14,train
11,11_1,Unimodal(Video),0,108,0.0,3.6,non-violent,0.0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,1,train
11,11_2,"Multimodal(Video, Text)",109,468,3.64,15.62,non-violent,0.0,News,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,2,train
11,11_3,Unimodal(Video),469,483,15.65,16.12,non-violent,0.0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,3,train
11,11_4,"Multimodal(Video, Text)",484,685,16.15,22.86,non-violent,0.0,News,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,4,train
11,11_5,"Multimodal(Video, Text)",686,874,22.89,29.16,none,,CCTV,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,5,train
11,11_6,"Multimodal(Video, Text)",875,977,29.2,32.6,violent,1.0,CCTV,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,6,train
11,11_7,"Multimodal(Video, Text)",978,1265,32.63,42.21,non-violent,0.0,CCTV,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,7,train
11,11_8,"Multimodal(Video, Text)",1266,1333,42.24,44.48,non-violent,0.0,News,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,8,train
