Video ID,Filename,Start frame,End frame,Start time(s),End time(s),,Violence Type (Video),Video Type,Violence Type (Text),Manual Text,Memo,Violence(Sound) Type1,Sound type1,start frame1,end frame1,Violence(Sound) Type2,Sound type2,start frame2,end frame2,Violence(Sound) Type3,Sound type3,start frame3,end frame3,Violence(Sound) Type4,Sound type4,start frame4,end frame4,Violence(Sound) Type5,Sound type5,start frame5,end frame5,Violence(Sound) Type6,Sound type6,start frame6,end frame6,Violence(Sound) Type7,Sound type7,start frame7,end frame7,Violence(Sound) Type8,Sound type8,start frame8,end frame8,Violence(Sound) Type9,Sound type9,start frame9,end frame9,Violence(Sound) Type10,Sound type10,start frame10,end frame10,Violence(Sound) Type11,Sound type11,start frame11,end frame11
1,1_Violent attack caught on camera at San Bernardino convenience store.mp4,0,112,0,3.74,3.74,Violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_Violent attack caught on camera at San Bernardino convenience store.mp4,113,122,3.77,4.07,0.3,Violent,CCTV,Violent,VIOLENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_Violent attack caught on camera at San Bernardino convenience store.mp4,123,310,4.1,10.34,6.24,Violent,CCTV,Violent,"VIOLENT, ATTACK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_Violent attack caught on camera at San Bernardino convenience store.mp4,311,311,10.38,10.38,0,NONE,Transition,Violent,"VIOLENT, ATTACK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_Violent attack caught on camera at San Bernardino convenience store.mp4,312,316,10.41,10.54,0.13,NONE,Transition,Violent,VIOLENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_Violent attack caught on camera at San Bernardino convenience store.mp4,317,516,10.58,17.22,6.64,Non-violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_Violent attack caught on camera at San Bernardino convenience store.mp4,517,958,17.25,31.97,14.72,Violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_Violent attack caught on camera at San Bernardino convenience store.mp4,959,968,32,32.3,0.3,Violent,CCTV,Violent,BATTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_Violent attack caught on camera at San Bernardino convenience store.mp4,969,1612,32.33,53.79,21.46,Violent,CCTV,Violent,"BATTLE, BAT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_Violent attack caught on camera at San Bernardino convenience store.mp4,1613,1621,53.82,54.09,0.27,NONE,Transition,Violent,"BATTLE, BAT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_Violent attack caught on camera at San Bernardino convenience store.mp4,1622,1650,54.12,55.05,0.93,NONE,CCTV,Violent,"BATTLE, BAT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_Violent attack caught on camera at San Bernardino convenience store.mp4,1651,1717,55.09,57.29,2.2,NONE,CCTV,Violent,"BATTLE, BAT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_Violent attack caught on camera at San Bernardino convenience store.mp4,1718,1845,57.32,61.56,4.24,NONE,CCTV,Violent,"BATTLE, BAT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_Violent attack caught on camera at San Bernardino convenience store.mp4,1846,1959,61.59,65.37,3.78,Non-violent,CCTV,Violent,"BATTLE, BAT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_Violent attack caught on camera at San Bernardino convenience store.mp4,1960,2129,65.4,71.04,5.64,Non-violent,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_Violent attack caught on camera at San Bernardino convenience store.mp4,2130,2133,71.07,71.17,0.1,Non-violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_Violent attack caught on camera at San Bernardino convenience store.mp4,2134,2334,71.2,77.88,6.68,Violent,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10_Violent street takeover caught on camera.mp4,0,83,0,2.77,2.77,Non-violent,Self-filmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10_Violent street takeover caught on camera.mp4,84,87,2.8,2.9,0.1,Non-violent,Self-filmed,Violent,ATTACKED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10_Violent street takeover caught on camera.mp4,88,184,2.94,6.14,3.2,Non-violent,Self-filmed,Violent,"ATTACKED, CHAOTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10_Violent street takeover caught on camera.mp4,185,185,6.17,6.17,0,Non-violent,News,Violent,VIOLENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10_Violent street takeover caught on camera.mp4,186,490,6.21,16.35,10.14,Non-violent,News,Violent,"ATTACKED, CHAOTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10_Violent street takeover caught on camera.mp4,491,708,16.38,23.62,7.24,Non-violent,Self-filmed,Violent,"ATTACKED, CHAOTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10_Violent street takeover caught on camera.mp4,709,715,23.66,23.86,0.2,NONE,Transition,Violent,"ATTACKED, CHAOTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
